symbol,name
A1BG,alpha-1-B glycoprotein
A1CF,APOBEC1 complementation factor
A2M,alpha-2-macroglobulin
A2ML1,alpha-2-macroglobulin like 1
A3GALT2,"alpha 1,3-galactosyltransferase 2"
A4GALT,"alpha 1,4-galactosyltransferase (P1PK blood group)"
A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase"
AAAS,aladin WD repeat nucleoporin
AACS,acetoacetyl-CoA synthetase
AADAC,arylacetamide deacetylase
AADACL2,arylacetamide deacetylase like 2
AADACL3,arylacetamide deacetylase like 3
AADACL4,arylacetamide deacetylase like 4
AADAT,aminoadipate aminotransferase
AAGAB,alpha and gamma adaptin binding protein
AAK1,AP2 associated kinase 1
AAMDC,adipogenesis associated Mth938 domain containing
AAMP,angio associated migratory cell protein
AANAT,aralkylamine N-acetyltransferase
AAR2,AAR2 splicing factor
AARD,alanine and arginine rich domain containing protein
AARS1,alanyl-tRNA synthetase 1
AARS2,"alanyl-tRNA synthetase 2, mitochondrial"
AARSD1,alanyl-tRNA synthetase domain containing 1
AASDH,aminoadipate-semialdehyde dehydrogenase
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS,aminoadipate-semialdehyde synthase
AATF,apoptosis antagonizing transcription factor
AATK,apoptosis associated tyrosine kinase
ABAT,4-aminobutyrate aminotransferase
ABCA1,ATP binding cassette subfamily A member 1
ABCA10,ATP binding cassette subfamily A member 10
ABCA12,ATP binding cassette subfamily A member 12
ABCA13,ATP binding cassette subfamily A member 13
ABCA2,ATP binding cassette subfamily A member 2
ABCA3,ATP binding cassette subfamily A member 3
ABCA4,ATP binding cassette subfamily A member 4
ABCA5,ATP binding cassette subfamily A member 5
ABCA6,ATP binding cassette subfamily A member 6
ABCA7,ATP binding cassette subfamily A member 7
ABCA8,ATP binding cassette subfamily A member 8
ABCA9,ATP binding cassette subfamily A member 9
ABCB1,ATP binding cassette subfamily B member 1
ABCB10,ATP binding cassette subfamily B member 10
ABCB11,ATP binding cassette subfamily B member 11
ABCB4,ATP binding cassette subfamily B member 4
ABCB5,ATP binding cassette subfamily B member 5
ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group)
ABCB7,ATP binding cassette subfamily B member 7
ABCB8,ATP binding cassette subfamily B member 8
ABCB9,ATP binding cassette subfamily B member 9
ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group)
ABCC10,ATP binding cassette subfamily C member 10
ABCC11,ATP binding cassette subfamily C member 11
ABCC12,ATP binding cassette subfamily C member 12
ABCC2,ATP binding cassette subfamily C member 2
ABCC3,ATP binding cassette subfamily C member 3
ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group)
ABCC5,ATP binding cassette subfamily C member 5
ABCC6,ATP binding cassette subfamily C member 6
ABCC8,ATP binding cassette subfamily C member 8
ABCC9,ATP binding cassette subfamily C member 9
ABCD1,ATP binding cassette subfamily D member 1
ABCD2,ATP binding cassette subfamily D member 2
ABCD3,ATP binding cassette subfamily D member 3
ABCD4,ATP binding cassette subfamily D member 4
ABCE1,ATP binding cassette subfamily E member 1
ABCF1,ATP binding cassette subfamily F member 1
ABCF2,ATP binding cassette subfamily F member 2
ABCF3,ATP binding cassette subfamily F member 3
ABCG1,ATP binding cassette subfamily G member 1
ABCG2,ATP binding cassette subfamily G member 2 (JR blood group)
ABCG4,ATP binding cassette subfamily G member 4
ABCG5,ATP binding cassette subfamily G member 5
ABCG8,ATP binding cassette subfamily G member 8
ABHD1,abhydrolase domain containing 1
ABHD10,"abhydrolase domain containing 10, depalmitoylase"
ABHD11,abhydrolase domain containing 11
ABHD12,"abhydrolase domain containing 12, lysophospholipase"
ABHD12B,abhydrolase domain containing 12B
ABHD13,abhydrolase domain containing 13
ABHD14A,abhydrolase domain containing 14A
ABHD14B,abhydrolase domain containing 14B
ABHD15,abhydrolase domain containing 15
ABHD16A,"abhydrolase domain containing 16A, phospholipase"
ABHD16B,abhydrolase domain containing 16B
ABHD17A,"abhydrolase domain containing 17A, depalmitoylase"
ABHD17B,"abhydrolase domain containing 17B, depalmitoylase"
ABHD17C,"abhydrolase domain containing 17C, depalmitoylase"
ABHD18,abhydrolase domain containing 18
ABHD2,"abhydrolase domain containing 2, acylglycerol lipase"
ABHD3,"abhydrolase domain containing 3, phospholipase"
ABHD4,"abhydrolase domain containing 4, N-acyl phospholipase B"
ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
ABHD6,"abhydrolase domain containing 6, acylglycerol lipase"
ABHD8,abhydrolase domain containing 8
ABI1,abl interactor 1
ABI2,abl interactor 2
ABI3,ABI family member 3
ABI3BP,ABI family member 3 binding protein
ABITRAM,actin binding transcription modulator
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
ABLIM1,actin binding LIM protein 1
ABLIM2,actin binding LIM protein family member 2
ABLIM3,actin binding LIM protein family member 3
ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
ABR,ABR activator of RhoGEF and GTPase
ABRA,actin binding Rho activating protein
ABRACL,ABRA C-terminal like
ABRAXAS1,"abraxas 1, BRCA1 A complex subunit"
ABRAXAS2,"abraxas 2, BRISC complex subunit"
ABT1,activator of basal transcription 1
ABTB1,ankyrin repeat and BTB domain containing 1
ABTB2,ankyrin repeat and BTB domain containing 2
ABTB3,ankyrin repeat and BTB domain containing 3
ACAA1,acetyl-CoA acyltransferase 1
ACAA2,acetyl-CoA acyltransferase 2
ACACA,acetyl-CoA carboxylase alpha
ACACB,acetyl-CoA carboxylase beta
ACAD10,acyl-CoA dehydrogenase family member 10
ACAD11,acyl-CoA dehydrogenase family member 11
ACAD8,acyl-CoA dehydrogenase family member 8
ACAD9,acyl-CoA dehydrogenase family member 9
ACADL,acyl-CoA dehydrogenase long chain
ACADM,acyl-CoA dehydrogenase medium chain
ACADS,acyl-CoA dehydrogenase short chain
ACADSB,acyl-CoA dehydrogenase short/branched chain
ACADVL,acyl-CoA dehydrogenase very long chain
ACAN,aggrecan
ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
ACAT1,acetyl-CoA acetyltransferase 1
ACAT2,acetyl-CoA acetyltransferase 2
ACBD3,acyl-CoA binding domain containing 3
ACBD4,acyl-CoA binding domain containing 4
ACBD5,acyl-CoA binding domain containing 5
ACBD6,acyl-CoA binding domain containing 6
ACBD7,acyl-CoA binding domain containing 7
ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACCSL,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like
ACD,ACD shelterin complex subunit and telomerase recruitment factor
ACE,angiotensin I converting enzyme
ACE2,angiotensin converting enzyme 2
ACER1,alkaline ceramidase 1
ACER2,alkaline ceramidase 2
ACER3,alkaline ceramidase 3
ACHE,acetylcholinesterase (Yt blood group)
ACIN1,apoptotic chromatin condensation inducer 1
ACKR1,atypical chemokine receptor 1 (Duffy blood group)
ACKR2,atypical chemokine receptor 2
ACKR3,atypical chemokine receptor 3
ACKR4,atypical chemokine receptor 4
ACKR5,atypical chemokine receptor 5
ACLY,ATP citrate lyase
ACMSD,aminocarboxymuconate semialdehyde decarboxylase
ACO1,aconitase 1
ACO2,aconitase 2
ACOD1,aconitate decarboxylase 1
ACOT1,acyl-CoA thioesterase 1
ACOT11,acyl-CoA thioesterase 11
ACOT12,acyl-CoA thioesterase 12
ACOT13,acyl-CoA thioesterase 13
ACOT2,acyl-CoA thioesterase 2
ACOT4,acyl-CoA thioesterase 4
ACOT6,acyl-CoA thioesterase 6
ACOT7,acyl-CoA thioesterase 7
ACOT8,acyl-CoA thioesterase 8
ACOT9,acyl-CoA thioesterase 9
ACOX1,acyl-CoA oxidase 1
ACOX2,acyl-CoA oxidase 2
ACOX3,"acyl-CoA oxidase 3, pristanoyl"
ACOXL,acyl-CoA oxidase like
ACP1,acid phosphatase 1
ACP2,"acid phosphatase 2, lysosomal"
ACP3,acid phosphatase 3
ACP4,acid phosphatase 4
ACP5,"acid phosphatase 5, tartrate resistant"
ACP6,"acid phosphatase 6, lysophosphatidic"
ACP7,"acid phosphatase 7, tartrate resistant (putative)"
ACR,acrosin
ACRBP,acrosin binding protein
ACRV1,acrosomal vesicle protein 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG2,acyl-CoA synthetase bubblegum family member 2
ACSF2,acyl-CoA synthetase family member 2
ACSF3,acyl-CoA synthetase family member 3
ACSL1,acyl-CoA synthetase long chain family member 1
ACSL3,acyl-CoA synthetase long chain family member 3
ACSL4,acyl-CoA synthetase long chain family member 4
ACSL5,acyl-CoA synthetase long chain family member 5
ACSL6,acyl-CoA synthetase long chain family member 6
ACSM1,acyl-CoA synthetase medium chain family member 1
ACSM2A,acyl-CoA synthetase medium chain family member 2A
ACSM2B,acyl-CoA synthetase medium chain family member 2B
ACSM3,acyl-CoA synthetase medium chain family member 3
ACSM4,acyl-CoA synthetase medium chain family member 4
ACSM5,acyl-CoA synthetase medium chain family member 5
ACSM6,acyl-CoA synthetase medium chain family member 6
ACSS1,acyl-CoA synthetase short chain family member 1
ACSS2,acyl-CoA synthetase short chain family member 2
ACSS3,acyl-CoA synthetase short chain family member 3
ACTA1,"actin alpha 1, skeletal muscle"
ACTA2,"actin alpha 2, smooth muscle"
ACTB,actin beta
ACTBL2,actin beta like 2
ACTC1,actin alpha cardiac muscle 1
ACTG1,actin gamma 1
ACTG2,"actin gamma 2, smooth muscle"
ACTL10,actin like 10
ACTL6A,actin like 6A
ACTL6B,actin like 6B
ACTL7A,actin like 7A
ACTL7B,actin like 7B
ACTL8,actin like 8
ACTL9,actin like 9
ACTMAP,actin maturation protease
ACTN1,actinin alpha 1
ACTN2,actinin alpha 2
ACTN3,actinin alpha 3
ACTN4,actinin alpha 4
ACTR10,actin related protein 10
ACTR1A,actin related protein 1A
ACTR1B,actin related protein 1B
ACTR2,actin related protein 2
ACTR3,actin related protein 3
ACTR3B,actin related protein 3B
ACTR3C,actin related protein 3C
ACTR5,actin related protein 5
ACTR6,actin related protein 6
ACTR8,actin related protein 8
ACTRT1,actin related protein T1
ACTRT2,actin related protein T2
ACTRT3,actin related protein T3
ACVR1,activin A receptor type 1
ACVR1B,activin A receptor type 1B
ACVR1C,activin A receptor type 1C
ACVR2A,activin A receptor type 2A
ACVR2B,activin A receptor type 2B
ACVRL1,activin A receptor like type 1
ACY1,aminoacylase 1
ACY3,aminoacylase 3
ACYP1,acylphosphatase 1
ACYP2,acylphosphatase 2
ADA,adenosine deaminase
ADA2,adenosine deaminase 2
ADAD1,adenosine deaminase domain containing 1
ADAD2,adenosine deaminase domain containing 2
ADAM10,ADAM metallopeptidase domain 10
ADAM11,ADAM metallopeptidase domain 11
ADAM12,ADAM metallopeptidase domain 12
ADAM15,ADAM metallopeptidase domain 15
ADAM17,ADAM metallopeptidase domain 17
ADAM18,ADAM metallopeptidase domain 18
ADAM19,ADAM metallopeptidase domain 19
ADAM2,ADAM metallopeptidase domain 2
ADAM20,ADAM metallopeptidase domain 20
ADAM21,ADAM metallopeptidase domain 21
ADAM22,ADAM metallopeptidase domain 22
ADAM23,ADAM metallopeptidase domain 23
ADAM28,ADAM metallopeptidase domain 28
ADAM29,ADAM metallopeptidase domain 29
ADAM30,ADAM metallopeptidase domain 30
ADAM32,ADAM metallopeptidase domain 32
ADAM33,ADAM metallopeptidase domain 33
ADAM7,ADAM metallopeptidase domain 7
ADAM8,ADAM metallopeptidase domain 8
ADAM9,ADAM metallopeptidase domain 9
ADAMDEC1,ADAM like decysin 1
ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1
ADAMTS10,ADAM metallopeptidase with thrombospondin type 1 motif 10
ADAMTS12,ADAM metallopeptidase with thrombospondin type 1 motif 12
ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13
ADAMTS14,ADAM metallopeptidase with thrombospondin type 1 motif 14
ADAMTS15,ADAM metallopeptidase with thrombospondin type 1 motif 15
ADAMTS16,ADAM metallopeptidase with thrombospondin type 1 motif 16
ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17
ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif 18
ADAMTS19,ADAM metallopeptidase with thrombospondin type 1 motif 19
ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2
ADAMTS20,ADAM metallopeptidase with thrombospondin type 1 motif 20
ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3
ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4
ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5
ADAMTS6,ADAM metallopeptidase with thrombospondin type 1 motif 6
ADAMTS7,ADAM metallopeptidase with thrombospondin type 1 motif 7
ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8
ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9
ADAMTSL1,ADAMTS like 1
ADAMTSL2,ADAMTS like 2
ADAMTSL3,ADAMTS like 3
ADAMTSL4,ADAMTS like 4
ADAMTSL5,ADAMTS like 5
ADAP1,ArfGAP with dual PH domains 1
ADAP2,ArfGAP with dual PH domains 2
ADAR,adenosine deaminase RNA specific
ADARB1,adenosine deaminase RNA specific B1
ADARB2,adenosine deaminase RNA specific B2 (inactive)
ADAT1,adenosine deaminase tRNA specific 1
ADAT2,adenosine deaminase tRNA specific 2
ADAT3,adenosine deaminase tRNA specific 3
ADCK1,aarF domain containing kinase 1
ADCK2,aarF domain containing kinase 2
ADCK5,aarF domain containing kinase 5
ADCY1,adenylate cyclase 1
ADCY10,adenylate cyclase 10
ADCY2,adenylate cyclase 2
ADCY3,adenylate cyclase 3
ADCY4,adenylate cyclase 4
ADCY5,adenylate cyclase 5
ADCY6,adenylate cyclase 6
ADCY7,adenylate cyclase 7
ADCY8,adenylate cyclase 8
ADCY9,adenylate cyclase 9
ADCYAP1,adenylate cyclase activating polypeptide 1
ADCYAP1R1,ADCYAP receptor type I
ADD1,adducin 1
ADD2,adducin 2
ADD3,adducin 3
ADGB,androglobin
ADGRA1,adhesion G protein-coupled receptor A1
ADGRA2,adhesion G protein-coupled receptor A2
ADGRA3,adhesion G protein-coupled receptor A3
ADGRB1,adhesion G protein-coupled receptor B1
ADGRB2,adhesion G protein-coupled receptor B2
ADGRB3,adhesion G protein-coupled receptor B3
ADGRD1,adhesion G protein-coupled receptor D1
ADGRD2,adhesion G protein-coupled receptor D2
ADGRE1,adhesion G protein-coupled receptor E1
ADGRE2,adhesion G protein-coupled receptor E2
ADGRE3,adhesion G protein-coupled receptor E3
ADGRE5,adhesion G protein-coupled receptor E5
ADGRF1,adhesion G protein-coupled receptor F1
ADGRF3,adhesion G protein-coupled receptor F3
ADGRF4,adhesion G protein-coupled receptor F4
ADGRF5,adhesion G protein-coupled receptor F5
ADGRG1,adhesion G protein-coupled receptor G1
ADGRG2,adhesion G protein-coupled receptor G2
ADGRG3,adhesion G protein-coupled receptor G3
ADGRG4,adhesion G protein-coupled receptor G4
ADGRG5,adhesion G protein-coupled receptor G5
ADGRG6,adhesion G protein-coupled receptor G6
ADGRG7,adhesion G protein-coupled receptor G7
ADGRL1,adhesion G protein-coupled receptor L1
ADGRL2,adhesion G protein-coupled receptor L2
ADGRL3,adhesion G protein-coupled receptor L3
ADGRL4,adhesion G protein-coupled receptor L4
ADGRV1,adhesion G protein-coupled receptor V1
ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide"
